
title,price,image
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",27828 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_7956.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB + 512GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",27828 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_1179.jpg
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,14""HD,RUS,DOS HDMI, IRON GRAY",27928 Сом,https://enter.kg//images/stories/virtuemart/product/ww-lenovo-laptop-v14-amd-hero_3169.webp
"Acer Extensa EX215-32 Black Intel N4500 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",28028 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_2520.jpg
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",28028 Сом,https://enter.kg//images/stories/virtuemart/product/2_4786.jpg
"HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus",28028 Сом,https://enter.kg//images/stories/virtuemart/product/2_6583.jpg
"Lenovo Ideapad 3 15ADA6 Arctic Grey AMD 3020e (up to 2.6Ghz), 8GB, 1TB, AMD Radeon™ Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",28028 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_8174.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",28028 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_3543.jpg
"Lenovo Ideapad S145 Black Ryzen 3 3200U (up to 3.5Ghz), 4GB, 128GB M.2 NVMe PCIe, AMD Radeon RX Vega 3, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",28028 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_2344.jpg
"Lenovo Ideapad S145 Black Ryzen 3 3200U (up to 3.5Ghz), 4GB, 500GB, AMD Radeon RX Vega 3, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",28028 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_4014.jpg
